"","SRR9929263","SRR9929264","SRR9929273","SRR9929282","SRR9929267","SRR9929276","SRR9929278","SRR9929285","SRR9929268","SRR9929269","SRR9929275","SRR9929286","SRR9929270","SRR9929277","SRR9929283","SRR9929284","SRR9929266","SRR9929272","SRR9929279","SRR9929281","SRR9929265","SRR9929271","SRR9929274","SRR9929280"
"Citrate cycle (TCA cycle)",-0.270151943930673,-0.370722316773262,-0.196185418705882,-0.511739065863636,0.117451915858332,-0.220495078832223,-0.237037638697329,0.25388172178629,-0.203751284686536,0.21865521100215,0.354375151909295,0.061166229442891,0.459938813342486,0.526985651890326,0.456506783179646,0.409549209894356,-0.374482939898086,-0.338900718153082,-0.228185975033696,-0.146490636465706,0.187281106897866,0.108991352871803,0.253040543835523,0.159305313878382
"Pentose phosphate pathway",-0.153387379064621,0.290389573567016,0.0373999211910686,0.304874018107291,-0.193623134144398,0.171850745493566,0.187786691921999,0.158897618754708,-0.238430324658847,-0.265678886100895,-0.204293722852711,-0.330925471457943,0.252365826039025,-0.0934820286739793,-0.111663170344683,0.012015637595247,-0.0392137376290671,0.20451857722482,-0.197437979676885,-0.20115507620076,-0.0930392485075449,-0.222549870830457,0.0754257535579581,0.275694064064133
"Oxidative phosphorylation",0.140000116487987,0.0340094683760074,-0.196326286112783,0.0971950283377763,0.313040829213203,0.336667063517334,0.0946492466555382,-0.0765146135065436,-0.0400992630286116,0.109771340378669,-0.0475966335078795,0.123938686255909,-0.0166315309837151,-0.120928942210696,0.0360595962312933,0.0160055909017652,0.00174413135802409,-0.496394118960931,0.20520882852493,-0.00277028148942887,-0.0246960407654641,-0.105912413068311,-0.0343690906067727,-0.353171372947719
"Arginine biosynthesis",-0.226755788511938,-0.174963596154007,-0.0825268776745983,-0.343436176648518,-0.107200268720459,0.0177757739004479,-0.160390291679538,-0.0816763877206772,0.538211414953347,0.302740532621194,0.116988169934908,0.499580831825099,-0.0539025487715529,-0.00354724401324269,0.0907752074096835,-0.0797448165869218,0.344364842847715,0.45313255500949,-0.0578937209845692,0.0186295530471249,-0.0562332741223473,-0.072617905051001,-0.537565668627746,-0.175596096648728
"Purine metabolism",0.174551593268103,0.379318337165796,0.24135139782715,0.377196168689713,0.070192815951997,0.110250275564481,0.275016179685473,0.0284666524334998,-0.114022484954074,-0.163089833289068,-0.0418505913670518,-0.218240897944663,-0.336427776745064,-0.202436475265653,-0.146224961479199,-0.341954922516922,-0.0376700883265696,0.110403890143525,0.138131823988219,0.0313781283461056,-0.131314114222586,-0.089245946011101,-0.323557327017195,-0.00082319204723813
"Pyrimidine metabolism",0.253206404293801,0.396950986033763,0.366047101915874,0.508197191014162,0.0878214267371655,0.338519880369079,0.424046013454026,0.114621724602497,0.277084888571495,-0.169986514407314,-0.0615051630374578,0.328759144200429,-0.555507053603268,-0.487455484391575,-0.520857568098617,-0.440818900824735,0.336823874706631,0.402816223236033,0.121061949769134,0.180782499231054,-0.483771152742684,-0.397560211914988,-0.483580351841621,-0.188273144801425
"Alanine, aspartate and glutamate metabolism",0.011097332269426,0.0207905597687621,0.122422378371656,-0.325379744057943,0.424455758546528,-0.0359245740234484,0.180381011437233,0.220089227414501,-0.00361616855605182,0.0808460443867489,0.0480369733157913,-0.22900325203252,-0.0276422764227643,0.296332359623499,0.296547930575592,-0.157158325533594,-0.433647678603744,-0.281066609890153,-0.227632189473259,-0.21099193310586,0.0987600399142823,-0.00384691651794561,-0.261833424984216,-0.214538125502089
"Glycine, serine and threonine metabolism",0.274113270003702,0.36437709446438,0.393819695205066,0.244121894331372,0.260077514589028,0.285598172881868,0.387899201868762,0.302195822260981,-0.565926362279005,-0.430055005774406,-0.419820241179176,-0.433633788103946,0.32967499367052,0.160935215118164,0.146213074182021,0.11009039755644,-0.423363140867193,-0.400527484081402,-0.530537753698579,-0.529580592030928,-0.0315780715344613,-0.0809558751362779,0.0826694261938111,0.158102209264782
"Arginine and proline metabolism",0.19376571141277,0.147034211498865,0.427326230679889,0.145834982273889,0.252024902957739,0.128788301223966,0.0279334828101644,0.31444561127155,-0.109366016392785,-0.167346830324865,-0.126135567386685,-0.0275669550642698,0.127057329992922,-0.141296482201866,-0.0944558720794846,0.0504289735872078,-0.175671821235551,0.0616901020126827,-0.158135248156707,-0.0347027614219591,-0.29919162422027,-0.170428997197791,-0.178875800913307,-0.148461382494229
"Cyanoamino acid metabolism",0.190832346934794,0.112115386715891,0.00834129825795138,-0.141642857415812,0.639954758321571,-0.029368713536949,0.328550814104386,0.510044027342103,-0.27762767119682,0.447176046842228,0.39320622001415,-0.17420221291644,-0.231252937814705,-0.177208323993212,0.236098086672799,-0.614663273282339,-0.673821310904409,-0.602653891181809,-0.158307210031348,-0.115320760391397,0.0354409023214156,0.0298674510366034,-0.56583125686574,-0.401325269163446
"Glutathione metabolism",0.0436985751555288,0.00163520288265701,0.0505367265709805,0.050656995139284,-0.208162552297623,0.0162522885184508,0.0756176137410045,-0.0274920441029927,-0.0224015097417167,-0.245864672919601,-0.242943906790746,-0.0675208972720686,0.283477252598704,-0.209398364944855,0.0868775666750858,0.240038558070239,-0.113240673637713,0.0123413957176843,-0.0775457292177036,-0.142963332874133,-0.090518547989845,0.0707390952553915,0.0776766800017619,0.277145806899729
"Starch and sucrose metabolism",-0.42802387808502,-0.533621910104003,-0.338410667231142,-0.55127777294305,-0.390337978658315,-0.617173915518708,-0.588912003192391,-0.30673176550518,0.432824774190126,0.375185938167687,0.317376612002351,0.355108255694461,0.306067256701988,0.31248732682984,0.414671876088175,0.293101567180845,0.383733845981898,0.343050110515639,0.242075387919264,0.377324320845564,0.358539657329252,0.392430019550799,0.322514876435145,0.328066865735833
"Pyruvate metabolism",0.0172961105691429,-0.295443586770174,0.00325541233442525,-0.257494885137796,-0.0328575139715041,-0.2231969165619,-0.240080764714211,0.27318339100346,-0.0656664422080578,0.0221288515406162,-0.0382989232654047,0.0210940334683096,0.343064509597905,0.353032747046849,0.343176160245036,0.374269480519481,-0.202551074096902,-0.0522285868579915,-0.276169821303451,-0.192890129509078,0.0420084619732749,-0.0160488712051596,0.164244224335502,0.147664647254251
"Glyoxylate and dicarboxylate metabolism",-0.283016916530923,-0.409563569892023,-0.236586290972967,-0.39835389782752,-0.0995073417315252,-0.33714612661937,-0.312201081780898,0.033993865990489,-0.0584882161496103,0.0665733529259751,0.303782197619069,-0.0343625683351758,0.289717854704999,0.482574636969766,0.453720345161349,0.119955733093481,-0.220358585500673,-0.0265065107534225,-0.221498458302755,-0.127564411414642,0.279612596862614,0.3233414638384,0.191321771904296,0.180645369069566
"One carbon pool by folate",0.467150638875843,0.361298676292519,0.50078377984495,0.302777870843879,0.148246744531306,0.278186151970458,0.431193370629696,0.277270121531759,-0.51822757735361,-0.542591501689595,-0.532866242535725,-0.36254274855179,0.226310150146965,0.183741652419225,0.262302861890301,0.0573768069152734,-0.613896183712007,-0.365541639601239,-0.468214543850262,-0.522457823197251,-0.0188217425156652,0.21698903372861,-0.0692398543481585,0.246092711043822
"Methane metabolism",-0.223586841684733,-0.175910073468074,-0.167764291831579,-0.158645254277538,-0.223905506384995,-0.349592012479766,-0.321870573834144,-0.147783973075402,-0.269820081604979,-0.327684434196071,-0.297459084348023,-0.386498702290827,0.398547464909021,0.244294534624226,0.298145136749211,0.286864125554702,-0.18143980081415,-0.0224459631381379,-0.203226437515917,-0.333075590777029,0.357866935360752,0.424280290936751,0.505151769825003,0.531555433902223
"Thiamine metabolism",-0.308399490017137,-0.143836386318715,-0.336949865809667,-0.391601070223739,0.0160924870922972,-0.57963670107072,-0.418846426236084,-0.289914879698161,0.476672258916326,0.694711425665138,0.669838168066196,0.265797404076596,-0.276304892976206,-0.176022355602558,-0.177213111491462,-0.405475534435808,0.448073531348476,0.472476802956429,0.536740033575932,0.556370707116954,0.0833016002970212,0.101210658862923,-0.281894267492645,-0.38145708733944
"Nitrogen metabolism",0.403694179832337,-0.443460764587525,0.10671439050405,-0.467916967405436,-0.00038131255721191,-0.251778423254649,-0.411865659051376,-0.0868873032006473,0.0837854286211094,0.0795476625599984,0.246302067053746,0.137618623394747,0.0500782472613458,0.317109197842604,0.375314789142543,0.301640397943215,0.114636128619476,0.0594679186228482,0.150613548495545,0.0902869527885108,0.371712543442757,0.404181664498115,-0.151518329837179,0.222619331268366
"Biosynthesis of secondary metabolites",0.171246886246046,0.0879966601617587,0.210057343695918,0.181190840458692,0.131039394900215,0.189359637409918,0.0950950512192881,0.370801745958762,-0.268027945865794,-0.274831409318241,-0.245543588589856,-0.147169195831347,0.242582965510316,0.0486500168392322,0.0275371779225089,0.107569043965888,-0.215979947794601,-0.108104123473275,-0.316748150133109,-0.295957404898426,-0.0809535153206042,-0.160800736376809,-0.0233356013116063,0.119886915137248
"Carbon metabolism",-0.242675390103471,-0.215579263420784,-0.137256479140409,-0.27714325175768,-0.168415960647415,-0.172564319174976,-0.169022086372354,0.062594558380321,-0.222480847300221,-0.193174851449225,-0.0852267121735305,-0.16298856806715,0.41082175374847,0.278677405161676,0.325702077345451,0.304705825217848,-0.177387408731844,-0.100774641423013,-0.293352012890198,-0.194462444481648,0.231548762927801,0.190665213294064,0.247628425865604,0.323732240545201
"2-Oxocarboxylic acid metabolism",0.101824426440048,0.238514725997315,0.258628429326121,0.0523709316893535,0.0989533972852539,0.24512417220402,0.292294192836796,0.29910272797625,0.0546243823500646,-0.190856414536659,-0.13616561942887,0.0319995667893775,0.131490018807975,-0.189182299904348,-0.172699036355887,-0.00242146939297569,-0.12677152388866,0.0711714582310944,-0.33885815471308,-0.30869916366228,-0.237101021119625,-0.270132296054425,-0.0969407430758314,-0.0191889733063363
"Biosynthesis of amino acids",0.236032973804774,0.3079974039936,0.298954323226445,0.301083031224487,0.123732358815039,0.304599436576283,0.326000694272991,0.249699674292178,-0.203555496817012,-0.40977690748585,-0.366040792052673,-0.273915250684722,0.16286993464015,-0.157060380656863,-0.117132566901,-0.0964304514954401,-0.170272819343826,-0.0064922501832041,-0.35614707917221,-0.417330634950627,-0.0642628559863899,-0.12588771397475,-0.0369328080898713,0.132849284853865
"Nucleotide metabolism",0.290079736575141,0.538822416841413,0.354587400546399,0.52704815183861,0.119198657842517,0.340816695057574,0.455206056442603,0.0594516338900949,0.182785900967719,-0.0945008847475657,-0.0579815229639654,0.101787915035523,-0.534699349683361,-0.565109509246982,-0.575463242634174,-0.524299066301368,0.290274656871397,0.3438345260385,0.182016012584318,0.218849412351011,-0.420219639526747,-0.383869085322972,-0.475196162624775,-0.257637100211244
"Biosynthesis of cofactors",-0.023075591299036,-0.0428803578146342,0.0209875850219771,-0.155023434549857,0.00330645224800952,-0.0868069201129547,-0.0783650819557462,-0.0910398275128636,0.028514598449757,0.158278386369099,0.138707298341075,-0.0147054056787934,-0.270610358329086,0.0281919676550365,-0.0445865231086863,-0.124164830201076,0.0182484498756977,0.204682431731369,0.310021992474535,0.276542375847407,-0.0158908588312197,0.0588268296207463,-0.0807200921713606,-0.0900533798587372
"Peroxisome",-0.445260146073338,-0.403529420757086,-0.306521768560673,-0.378127357257679,-0.326621326819193,-0.260455685448505,-0.254146423838328,-0.343342578732134,0.435921735944181,0.302838744680561,0.453550790069143,0.311293993776447,-0.0806680110451189,0.138829424104132,0.182110564192005,0.0742281434375855,0.222378778897845,0.368766157536175,0.199527649152055,0.318836156622847,0.114550037680933,0.178775222759493,0.0518533799173155,-0.0877442240329768
"Folate transport and metabolism",0.529462038779531,0.274658398053119,0.499473264750877,0.506775267509429,0.321711568938193,0.441604899083772,0.437107594301977,0.317760195195431,-0.293650390807364,-0.471281115305803,-0.331106120916046,-0.22255250496138,0.106255715387133,-0.0947291490877754,-0.105498334025125,0.0500761769141842,-0.553708919416777,-0.235312608589982,-0.44336076369555,-0.347467627525342,-0.282295081057227,-0.310391594006722,-0.375527202427877,-0.197465809185892
